title,img,英文名称,批准文号,主要规格,用途,产品说明
尼群地平片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H43021267,10mg×100s 600瓶/件,高血压,【成份】本品活性成份为尼群地平【性状】本品为淡黄色片【用法用量】成人常用量：开始一次口服10mg，每日1次，以后可根据情况调整为20mg，每日2次。【药物相互作用】1．b-受体阻滞剂绝大多数患者合用此药可加强降压作用，并可减轻本品降压后发生的心动过速；然而，个别患者有可能诱发和加重体循环低血压、心力衰竭和心绞痛。2．血管紧张素转换酶抑制剂合用耐受性较好，降压作用加强。3．长效硝酸盐类合用有较好的耐受性，但尚缺乏评价这种合用控制心绞痛的有效性文献。4．洋地黄部分研究提示服用此药，能够增加合用的地高辛血浆浓度，平均增加45%。部分研究认为不增加地高辛血浆浓度和毒性。提示我们在初次使用、调整剂量或停用尼群地平时应监测地高辛的血药浓度，以防地高辛过量或不足。5．双香豆类抗凝药尚无报告表明合用尼群地平能够增加香豆类抗凝药物的凝血酶元时间。目前，还不能肯定他们之间的相互作用。6．西咪替丁由于西咪替丁可介导抑制肝脏细胞色素P450酶，使尼群地平的首关效应发生改变，建议对正在服用西咪替丁治疗的患者合用尼群地平时，注意药物剂量的调整。
五酯微丸,http://img1.pharmnet.com.cn/suppliers/product_cn/1678299_1.JPG,WU ZHI WEI WAN,国药准字Z20050277,1.5g*12瓶/盒,降低血清丙氨酸氨基转氨酶。可用于慢性肝炎丙氨酸氨基转氨酶升高者,"七大优势：1、纯中药制剂，老药新用效果独特且无明显毒副作用；2、有效降低各种病因所致谷丙转氨酶升高；3、治疗急慢性、病毒性乙肝效果显著，并具有保肝护肝及退黄功效；4、有效治疗抗结核药品所致肝损伤；5、临床上在与免疫调节剂FK506配合使用时,五酯微丸可明显提高其血药浓度；6、采用先进的微丸技术，提高有效成分生物利用度；7、质量标准采用双指标成份控制：总木脂素和五味子甲素。"
维生素C注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/1678297_1.JPG,Vitamin C Injection,国药准字H51022538,2.5ml：1g,1.用于治疗坏血病，也可用于各种急慢性传染性疾病及紫癜等辅助治疗。2.慢性铁中毒的治疗：维生素C促进去铁胺对铁的螯合，使铁排出加速。3.特发性高铁血红蛋白症的治疗。4.下列情况对维生素C的需要量增加：(1)病人接受慢性血液透析、胃肠道疾病(长期腹泻、胃或回肠切除术后)、结核病、癌症、溃疡病、甲状腺功能亢进、发热、感染、创伤、烧伤、手术等；(2)因严格控制或选择饮食，接受肠道外营养的病人，因营养不良，体重骤降，以及在妊娠期和哺乳期；(3)应用巴比妥,五大优势：1、作为治疗坏血病和高铁血症的传统药物，剂型改进后，效果更突出；2、可外用治疗高锰酸钾化学性烧伤和各种感染性创面；3、高浓度（40％）制剂，使用更方便，并能减少用药途径的污染；4、独特制作工艺，提高稳定性，疗效更显著；5、高于国家标准的内控标准，确保产品安全有效。
脑血康丸,http://img1.pharmnet.com.cn/suppliers/product_cn/1678298_1.JPG,NAO XUE KANG WAN,国药准字Z20050312,1.5g/袋×12袋,用于血淤中风、半身不遂、口眼歪斜、舌强语蹇、舌紫暗、有瘀斑等，及高血压脑出血后的脑血肿、脑血栓见上述证候者,优势特点：1、传统中药、历史悠久、疗效显著；2、单一组方而成，无明显毒副作用；3、是治疗脑血栓、脑栓塞、脑出血后的脑水肿等疾病的首选良药；4、脑血康丸对心血管疾病亦有较明显的疗效，可用于该类疾病患者预防中风；5、采用先进的微丸技术、提高有效成分生物利用度；6、采用新的质量标准测定含量，方法更严格，疗效更突出。
妇炎灵胶囊(伊能净),http://img1.pharmnet.com.cn/suppliers/product_cn/1674913_1.jpg,,国药准字Z33020435,0.4g/粒,有效治疗多种(霉菌性、滴虫性、细菌性)阴道炎及宫颈糜烂，尿路感染等，且不易耐药。,国家中药保护品种，国家药典收载品种，疗效确切，使用安全，具有独特的阴道黏膜修复功能，能有效治疗多种（霉菌性、滴虫性、细菌性）阴道炎及宫颈糜烂，尿路感染等，且不易耐药。
补白颗粒(瑞多),http://img1.pharmnet.com.cn/suppliers/product_cn/1674912_1.jpg,,国药准字Z20026047,每袋装15g,肿瘤药瑞多补白颗粒中各主要成分对白细胞减少均有很好的疗效，并能提高机体免疫力，抑制肿瘤发展。,现代研究表明，肿瘤药瑞多补白颗粒中各主要成分对白细胞减少均有很好的疗效，并能提高机体免疫力，抑制肿瘤发展。瑞多补白颗粒更适合病人服用，解决了一般药物病人难以吞咽的难题，其既能升高白细胞，又能提高机体抵抗力，从而达到整体综合治疗的目的。瑞多补白颗粒共八味药配伍，具有安全、长期、高效，服用方便的特点。【成分】补骨脂、白扁豆、淫羊藿、黑大豆、赤小豆、丹参、柴胡、苦参。【功能主治】肿瘤药瑞多补白颗粒健脾温肾。用于慢性白细胞减少症属脾肾不足者。【用法用量】开水冲服，一次15g（1袋），一日3次。【规格】每袋装15g。【包装】铝泊袋包装，每盒装9袋，100盒/件。
归圆口服液,http://img1.pharmnet.com.cn/suppliers/product_cn/1674910_1.jpg,,国药准字B20020162,每支装10ml,妇科药南洋归圆口服液具有补气生血。活血化淤，补肾强肝，安神益智，扶元固本之效。对产后劳虚，产后恶露不尽，产后无乳，少乳，促进子宫缩复，缩短恶露干净时间，增加乳汁及提升乳汁质量，快速恢复产后体质，减少产后病的发生有明显效果。,妇科药南洋--归圆口服液是全国独家产品，国家批准的产妇产后恢复专用OTC药品，是根据清代《宫廷医方选》禽化人参及多年临床经验，借鉴民间验方用人参、黄芪、当归、龙眼肉、乌鸡等科学配方精致而成的口服液。妇科药南洋归圆口服液针对人群：产后妇女(顺产、早产、难产、剖腹产、流产及人工流产)及其它妇女有气虚、血虚等虚症者。[用法用量]口服，一次1支(10ml)，一日3次。
虫草洋参胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1674911_1.jpg,,国药准字B20020817,每粒装0.3克,补肺肾、益气阴。用于肺肾两虚、气阴不足所致的咳嗽、气短、腰膝酸痛、神疲乏力、潮热、烦渴等症状的改善。,1、虫草洋参胶囊对肺的作用：补肺降火、营胃生津，对肺肾两虚引起的咳嗽、气喘、咳血，潮热，烦渴少气有良好疗效；2、虫草洋参胶囊对肾的作用：激活残存的肾细胞、调节肌体免疫系统、排肾毒、改善肾微环境、修复肾膜，也可适用于遗精阳痿、腰膝酸痛；3、虫草洋参胶囊有抗疲劳、抗衰老作用：消除疾病性疲劳和非疾病性疲劳，预防疲劳过度而诱发的个中疾病；增强肌体免疫功能功效显著，对体弱多病患者，劳心劳力者，增强体质，延年益寿有意想不到的效果；4、虫草洋参胶囊有抗菌抗癌作用：扶正抗癌良药，可以益精气
乳酸菌素片,http://img1.pharmnet.com.cn/suppliers/product_cn/1674914_1.jpg,,国药准字H20043646,按乳酸菌素计0.4g/片。,消化系统药乳酸菌素片对胃肠道疾病的预防和治疗具有独特的作用。可用于各种原因所致的菌群失调，预防和治疗有害微生物或肠内异常发酵引起的胃肠炎、腹泻、痢疾、食欲不振、厌食、嗳气、营养不良、消化不良、早饱、腹胀等。,南洋乳酸菌素片--天然的肠道微生态平衡调节剂消化系统药乳酸菌素片对胃肠道疾病的预防和治疗具有独特的作用。可用于各种原因所致的菌群失调，预防和治疗有害微生物或肠内异常发酵引起的胃肠炎、腹泻、痢疾、食欲不振、厌食、嗳气、营养不良、消化不良、早饱、腹胀等。
多西他赛,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,Docetaxel,国药准字H20052318,－－－－  原料药,,
肝康颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字Z20044185,每袋装10g,清肝利湿。用于肝胆湿热所致的黄疸，症见周身，小便俱黄，体疲乏力，纳呆，恶心厌油，苔黄腻，脉弦滑数；及急慢性肝炎、胆囊炎。,肝康颗粒说明书请仔细阅读说明书并在医师指导下使用【药品名称】通用名称：肝康颗粒汉语拼音：GankangKeli【成份】柴胡、田基黄、茵陈、蒲公英、甘草、金钱草。【性状】本品为淡棕色或棕色颗粒；气香，味苦。【功能主治】清肝利湿。用于肝胆湿热所致的黄疸，症见周身，小便俱黄，体疲乏力，纳呆，恶心厌油，苔黄腻，脉弦滑数；及急慢性肝炎、胆囊炎。【规格】每袋装10g【用法用量】口服。一次1袋，一日2次，小儿酌减或遵医嘱。【不良反应】尚不明确。【禁忌】尚不明确。【注意事项】尚不明确。【贮藏】密封。【包装】复合袋每盒装6袋。【有效期】暂定18个月。【执行标准】国家食品药品监督管理局标准YBZ11662004【批准文号】国药准字Z20044185【生产企业】江西南昌桑海制药厂
五根胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1727083_1.jpg,Wugen Jiaonang,国药准字Z20026428,每粒装0.3g。12粒/24粒/盒,藏医：干黄水，用于寒性黄水病，关节肿胀。中医：祛风除湿，散寒止痛，用于风湿性关节炎，关节肿胀，腰膝疼痛,西藏棱子芹、喜马拉雅紫茉莉（奶制）、蒺藜（炒）、黄精（奶制）、天冬（奶制）。本品为胶囊剂，内容物为灰白色或淡黄色的粉末；气微，味微甘
复方海蛇胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/827/1726827_1.jpg,Fufang  Haishe  Jiaonang,国药准字Z20000130,每粒装0.3克,补肾宁心，化痰安神。用于心肾不交兼痰浊的健忘症，症见：善忘无记、腰酸腿软、头晕心悸、少寐多梦、纳呆。,【药品名称】通用名称：复方海蛇胶囊商品名称：喜恩开汉语拼音：FufangHaisheJiaonang【成份】海蛇、海参、远志、石菖蒲，辅料为倍他环糊精。【性状】本品为胶囊剂，内容物为棕褐色的粉末；气微腥，味苦、涩。【功能主治】补肾宁心，化痰安神。用于心肾不交兼痰浊的健忘症，症见：善忘无记、腰酸腿软、头晕心悸、少寐多梦、纳呆。【规格】每粒装0.3克【用法用量】口服，一次3粒，一日3次。【不良反应】少数患者服药后可出现皮疹及轻度腹泻、恶心。【禁忌】孕妇忌服，对海产品过敏者应禁用。【注意事项】1.忌烟、酒及辛辣、生冷、油腻食物。2.不宜和感冒类药同时服用。3.高血压、糖尿病患者应在医师指导下服用。4.本品宜饭前或进食同时服用。5.服药1周症状无改善应停药并去医院就诊。6.对本品过敏者禁用，过敏体质者慎用。7.本品性状发生改变时禁止使用。8.儿童必须在成人监护下使用。9.请将此本品放在儿童不能接触到的地方。10.如正在使用其他药品，使用本品前请咨询医师或药师。【药物相互作用】如与其他药物同时使用可能会发生药物相互作用，详情请咨询医师或药师。【贮藏】密封。【包装】口服固体药用高密度聚乙烯瓶装，每瓶装30粒。【有效期】24个月【执行标准】国家药品标准WS3–331(Z-43)-2003(Z)【批准文号】国药准字Z20000130
盐酸利多卡因注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H33021533,5ml:0.1gx5支X200盒；10ml:0.2gx5支X120盒,本品可用于急性心肌梗塞后室性早搏和室性心动过速，亦可用于洋地黄类中毒、心脏外科手术及心导管引起的室性心律失常,-
强力枇杷露,http://img1.pharmnet.com.cn/suppliers/product_cn/1726710_1.jpg,,国药准字Z20053635,10亳升*6支*100盒；10ml×10支×80盒,养阴敛肺，止咳祛痰。用于支气管炎咳嗽。,-
生脉饮,http://img1.pharmnet.com.cn/suppliers/product_cn/1726711_1.jpg,,国药准字Z20053628,10ml×10支×80盒,治疗高脂蛋白血症，用于降低血清胆固醇，防止动脉粥样硬化，对降低甘油三脂、β-脂蛋白也有一定作用。,-
复方鲜竹沥液,http://img1.pharmnet.com.cn/suppliers/product_cn/1726709_1.jpg,,国药准字Z20053633,10ml×6支×120盒；10ml×10支×80盒,清热化痰，止咳。用于痰热咳嗽，痰黄黏稠。,-
复方甘草口服溶液,http://img1.pharmnet.com.cn/suppliers/product_cn/1726708_1.jpg,,国药准字H20054241,120ml*100瓶,用于上呼吸道感染、支气管炎和感冒时所产生的咳嗽及咳痰不爽。,-
维血康颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/1726543_1.jpg,,国药准字Z20060084,每袋装10g,补肾健脾，补血养阴。适用于脾肾不足，精血亏虚，面色萎黄，眩晕耳鸣，腰膝酸软，倦怠体瘦。营养性贫血、缺铁性贫血属上述证候者。,维血康颗粒说明书请仔细阅读说明书并在医师指导下使用警示语：本品含硫酸亚铁【药品名称】通用名称：维血康颗粒汉语拼音：WeixuekangKeli【成份】党参、熟地黄、黑豆、山药、陈皮、砂仁、何首乌、硫酸亚铁、山楂。【性状】本品为棕色至棕褐色颗粒；气香、味甜、微酸。【功能主治】补肾健脾，补血养阴。适用于脾肾不足，精血亏虚，面色萎黄，眩晕耳鸣，腰膝酸软，倦怠体瘦。营养性贫血、缺铁性贫血属上述证候者。【规格】每袋装10g【用法用量】开水冲服。成人一次10g，小儿一次5g，一日3次。15-20天为一疗程。【不良反应】尚不明确。【禁忌】尚不明确。【注意事项】尚不明确。【贮藏】密封，置阴凉(不超过20℃)干燥处。【包装】复合袋每盒装10袋。【有效期】暂定18个月。【执行标准】国家食品药品监督管理局标准YBZ02452006【批准文号】国药准字Z20060084【生产企业】江西南昌桑海制药厂
